"Cerita Terhebat yang Pernah Ada","Text","Cet. 1","9786026594938","Zukzez Express","2018","149 hlm; 20 cm","","813 NUR c","Indonesia","Banjarbaru","813","","42400953_587174568392186_3360740737176489474_n.jpg.jpg","","<NURLATIFAH, Aikhalid.>","<Kumpulan Cerpen>","<20180572><20180571>"
"Mahfuzhat","Text","Cet. 1","9786021583494","Turos Khazanah Pustaka Islam","2018","371 hlm; 19 cm","","2X6.1 PUS m","Indonesia","Jakarta Selatan","2X6.1","","9786021583494.jpg.jpg","","<TIM TUROS PUSTAKA>","<Kata Mutiara><Sastra Islam>","<20180568>"
"Indonesia X-Files 2","Text","Cet. 1","9786021306239","Noura Books","2014","127 hlm; 19 cm","","614.1 IDR i","Indonesia","Jakarta","614.1","","indonesia-x-files-2-53b3659f07688.jpg.jpg","","<IDRIES, Abdul Mu'in>","<Forensik>","<20180569>"
"Suliminal Assassin: pembunuh sunyi","Text","Cet. 1","9786025214202","Scritto Book","2018","259 hlm; 19 cm","","813 FIN s","Indonesia","Yogyakarya","813","","","","<FINN R>","<Novel>","<20180567>"
"The Magnificent Sulaiman Al-Qanuni","Text","Cet. 1","9789791093507","Al Wafi Publishing","2018","286 hlm, 24 cm","","2x9.7 ABD t","Indonesia","solo","2x9.7","","Buku-The-Magnificent-Sulaiman-Al-Qanuni-Sultan-Penakluk-Tiga-Benua-cover-2.jpg.jpg","","<ABDULLAH, Rachmad>","<Sejarah Islam - Zaman Daulah Lainnya>","<20180599>"
"Sunnah Sedirham Surga","Text","","9786027820685","PRO U MEDIA","2017","","","2x5.1 FIL s","Indonesia","Yogyakarta","2x5.1","","","","<FILLAH, Salim A.>","<Akhlak, Akhlaq>","<20180574>"
"Al-Bayan","Text","Cet. 2","9786028975803","Zamzam","2017","316 hlm; 20,5 cm","","2x1.03 ADA a","Indonesia","solo","2x1.03","","","","<Umar Mujtahid><AL-'ADAWI, Syaikh Musthafa>","<Kamus al-Quran>","<20180592>"
"#MNCRGKNSKL","Text","","9786027820845","PRO U MEDIA","2018","308 hlm","","2x5.1 FIL m","Indonesia","Yogyakarta","2x5.1","","f357620eaae0d6bc5f3d202fd86d2681.jpg.jpg","","<FILLAH, Salim A.><RIVAI, Zaky A.>","<Akhlak, Akhlaq>","<20180594>"
"Membimbing Remaja Dengan Cinta","Text","","9786027820562","PRO U MEDIA","2016","368 hlm,; 24 cm","","2x5.1 IST m","Indonesia","Yogyakarta","2x5.1","","174984_a910f564-1fd9-48d5-bf85-14e560f47dc5.jpg.jpg","","<ISTADI, Irawati.>","<Akhlak, Akhlaq>","<20180591>"
"Hadits Penting Pelita Hati","Text","Jilid 1","","Penerbit Pustaka","1997","168 hlm; 21 cm","","2x2.341 HAS h","Indonesia","Bandung","2x2.341","","","","<Pustaka><HASIM, Moh.>","<hadits mengenai ibadah>","<20180586>"
"100 Dosa yang Diremehkan Wanita","Text","Cet. 5","9789793942636","Al-Qowam","2018","244 hlm","","2x4.96 GHA s","Indonesia","Sukoharjo","2x4.96","","100DOSA.jpg.jpg","","<AL-GHAMIDI, Abdul Lathif bin Hajis>","<Fikih Wanita>","<20180597>"
"Sejarah Nusantara","Text","Cet. 2","9786028635355","Sega Arsy","2018","180 hlm","","959.8 PAN s","Indonesia","Bandung","959.8","","","","<PANE, Sanusi.>","<Sejarah Indonesia - Penjajahan Belanda>","<20180585>"
"Rupa-rupa Upacara Adat Sunda Jaman Ayeuna","Text","Cet. 1","","Penerbit Pustaka","1997","101 hlm","","392 HAS r","Sunda","Bandung","392","","","","<Pustaka><HASIM, Moh.E.>","<Adat Istiadat Setempat>","<20180583>"
"Tantangan Dalam Revolusi","Text","Cet. 1","9786028635664","Sega Arsy","2018","156 hlm","","320.508 HAT t","Indonesia","Bandung","320.508","","","","<HATTA, Mohammad>","<Ideologi Politik di Indonesia>","<20180584>"
"Dokter yang Dirindukan","Text","Cet. 1","9786025734274","Republika Penerbit","2018","300 hlm; 13,5x20,5 cm","","813 NAD d","Indonesia","Jakarta","813","","","","<NADIA,Asma><FAZAL,Anwar>","<novel populer>","<20180587>"
"Indonesia X-Files; Mengungkap fakta dari Kematian Bung Karno Sampai Kematian Munir","Text","Cet. 1","","Noura Books","2013","","","614.1 IDR i","Indonesia","Jakarta Selatan","614.1","","index6.jpg","","<IDRIES, Abdul Mun\'im.>","<Kedokteran Forensik>","<20130208>"
"Harta Haram Muamalat Kontemporer","Text","","","PT. Berkat Mulia Insani","2018","Hardcover","","2x4.2 TAR h","Indonesia","Bogor","2x4.2","","","","<TARMIZI,Erwandi>","<Muamalat, Muamalah>","<20180580>"
"Prophetic Parenting For Girls","Text","","","PRO U MEDIA","2016","324 HLM; 24 cm","","2x7.31 JUS p","Indonesia","Yogyakarta","2x7.31","","","","<JUSAN, Misran><ARMANSYAH>","<metode dan sistem pendidikan islam>",""
"Perawan Reamaja dalam Cengkraman Militer","Text","","9786026208828","Keputakaan populer Gramedia","2015","ix + 248 hlm; 20 cm","","813 TOE p","Indonesia","Jakarta","813","","","","<TOER, Pramoedya Ananta.>","<Catatan Harian>","<20180570>"
"SeribuWarna Turkey: potret lain besiswa, pendidikan sastra dan kesenian","Text","Cet. 1","9786027696464","IRCiSod","2018","360 hlm , 20 cm","","910.2561 SUJ s","Indonesia","Yogyakarta","910.2561","","","","<ELGA, A Yusrianto>","<Biografi - Catatan Harian>","<20180556>"
"Teknik Manulis Karya Ilmiah","Text","","","","","","","081 DWI","Indonesia","","081","","","","<DWILOKA, Bambang.>","","<20090051>"
"Biar Kuncupnya Mekar Jadi Bunga","Text","","","","","","","2x4 MAT b","Indonesia","","2x4","","","","<MATTA, M. Anis.>","","<20110770>"
"Remaja Sahabat Allah","Text","","","","","","","2x4 SHO r","Indonesia","","2x4","","","","<SHODIQ, Muhammad.>","","<20110743>"
"Norma dan Etika Ekonomi Islam","Text","","","","","","","2x6.3 QAR n","Indonesia","","2x6.3","","images5.jpg","","<QARDHAWI, Yusuf.>","","<20080211>"
"Etika al-Ghazali","Text","Cet. 1","","","1988","","","2x5.1 GHA e","Indonesia","","2x5.1","","","","<Pustaka><QUASEM, M. Abul.>","","<19880388><20180292><20180320><20180288>"
"GARA-GARA INDONESIA","Text","Cet. 1","","Asma Nadia PH","","","","900 PRI g","Indonesia","","900","","","","<PRIBADI,Agung>","","<20140486>"
"Penawar Lelah Pengemban Dakwah","Text","","","","","","","2x7.2 AZZ p","Indonesia","","2x7.2","","","","<AZZAM, Abdullah.>","","<20110783>"
"The Persian Letters","Text","Cet. 1","","","","","","891.552 MON","English","","891.552","","","","<MONTESQUIEU><George R. Healy>","","<19920420>"
"Kudung Gaul","Text","","","","","","","2x4.95 GHI k","Indonesia","","2x4.95","","","","<GHIFARI, Abu al.>","","<20050209>"
"Fisika Jilid I","Text","","","","","","","530 HAL","Indonesia","","530","","","","<HALLIDAY, David.>","","<20090078>"
"Tuhan dan Ilmu Pengetahuan Modern","Text","","","Penerbit Pustaka-Perpustakaan Salman Institut Teknologi Bandung","1995","","","215 QUA","Indonesia","Bandung","215","","","","<Pustaka><QUAMAR, Jawaid>","","<20180336><20180535>"
"Kalkulus Jilid 2","Text","Edisi Kesempilan","9789790991545","Penerbit Erlangga","","","","515 VAR","Indonesia","Jakarta","515","","","","<PURCELL, Edwin J.><VARBERG, Dale.><RIGDON, Steven E.>","","<20120431><20180533>"
"Kalkulus Jilid 1","Text","ed. 9","9789790339378","Penerbit Erlangga","","","","515 VAR","Indonesia","Jakarta","515","","","","<PURCELL, Edwin J.><VARBERG, Dale.><RIGDON, Steven E.>","","<20180532>"
"Mimbar Studi; Jurnal Ilmu Agama Islam","Text","Nomor 2 Tahun XXII Januari - April 1999","","","1999","","","2x0.05 SET m`","Indonesia","Bandung","2x0.05","","","Ahmad Supriadi","<SETIADY, A. Darun.>","<Jurnal - Islam>","<20180553>"
"Islamic Civilization in Thirty Lives","Text","","9780500110300","Thames & Hudson","","272 hlm.","","R 2x6 ROB i","English","","2x6","","51WLvxbBPgL._SX327_BO1,204,203,200_.jpg.jpg","","<ROBINSON, Chase F.>","<Sosial Budaya Islam>","<20180552>"
"Homo Deus; Masa Depan Umat Islam","Text","Cet. 2","9786026577337","Pustaka alvabet","2018","540 hlm.; 15x23 cm","","301 HAR h","Indonesia","Tangerang Selatan","301","","download_(1).jpg.jpg","","<Yanto Musthofa><HARARI, Yuval Noah>","<Sosiologi dan Antropologi>","<20180551>"
"Sapiens: Riwayat Singkat Umat Manusia","Text","Cet. 3","978-602-424-426-3","KPG","2018","vii + 525 hlm.; 15 cm x 25 cm","","301 HAS s","Indonesia","Jakarta","301","","","","<HARARI, Yuval Noah>","<Sosiologi dan Antropolgi>","<20180185>"
"Praktik Manajemen Berbasis al-Qur'an","Text","","","","","","","2x7.42 TAU","Indonesia","","2x7.42","","","","<TAUFIQ, Ali Muhammad.>","","<20070165>"
"99,99 % Sukses","Text","Cet. 1","978-979-610-445-8","PT. Buku Seru","2010","344 hlm; 20.5x28 cm","","425 RIY","Indonesia","Jakarta","425","","","","<RIYANTO, Slamet.>","","<20160382>"
"The Ultimate Power of Shalat Tahajud","Text","","","","","","","2x4.122 3 MUS","Indonesia","","2x4.122 3","","","","<MUSTIKA, M. Shodiq.>","","<20120354>"
"A Mathematician's A pology","Text","Cet. 1","","Unirsity of Alberta Mathematical Scinces Society","2005","20.5 X 14.5 CM","","510.1 HAR m","English","Canada","510.1","","","","<HARDY, G.H.>","","<20180525>"
"Panduan Perjalanan Haji","Text","Cet. 1","","DEPARTEMEN AGAMA","2002","20.5 X 14.5 CM","","2x4.15 DEP p","Indonesia","Jakarta","2x4.15","","","","<Departemen Agama RI>","","<20180523>"
"Hikmah Ibadah Haji","Text","Cet. 1","","Departemen Agama RI","2006","","","2x4.15 DEP h","Indonesia","","2x4.15","","","","<Departemen Agama RI>","","<20180544>"
"The Golden Rules Muslim Kafah 2 dalam Persepsi Saintis","Text","","","ITB PRESS","2018","20.5 X 14.5 CM","","2X0.9 SAT m","Indonesia","Bandung","2X0.9","","Buku_Muslim_Kafah_2_dalam_Persepsi_Saintis.jpg.jpg","","<SATIRA, Suparno>","","<20180520>"
"Trialektika Agama, Budaya, dan Politik","Text","Cet. 1","9786029876291","Pustaka Matahari","2017","24X15.5CM","","201.6 ADL t","Indonesia","Bandung","201.6","","Trialektika__Agama__Budaya__Politik.jpg.jpg","","<ADLIN, Alfathri.>","","<20180531>"
"Harga Sebuah Percaya","Text","Cet. 4","9786029474121","Mahaka","2018","20.5 X 13.5 CM","","813 LIY h","Indonesia","Jakarta","813","","","","<LIYE, Tere.>","","<20180543>"
"Batman Night Walker","Text","Cet. 1","9786026699152","Mizan Fantasi","2018","20.5 X 13.5 CM","","823 MAR b","Indonesia","Jakarta","823","","","","<MARIE, Lu.><Angelic Zai Zai>","","<20180542>"
"Bidadari Bermata Bening","Text","Cet. 1","9786020822648","Republika","2017","","","813 SHI b","Indonesia","Jakarta","813","","","","<SHIRAZY, Habiburrahman el->","","<20180541>"
"Robinson Crusoe","Text","Cet. 1","9786020478272","PT Alex Media Komputindo","2018","20.5 X 13.5 CM","World Library Series","823 DEF r","Indonesia","Jakarta","823","","108378_f.jpg.jpg","","<DEFOE, Daniel.><Peusy Sharmaya>","","<20180540>"
"1Q84 Jilid 2","Text","Cet. 4","9786024240066","KPG","2017","20.5 X 13.5 CM","","895.6 MUR s","Indonesia","Jakarta","895.6","","92548_f.jpg.jpg","","<MURAKAMI, Haruki><Ribeka Ota>","","<20180539>"
"Gilkey Si Pencuri Buku","Text","Cet. 1","9786026577214","Alvabet","2018","20.5 X 13 CM","","823 BAR g","Indonesia","Tanggerang Selatan","823","","105733_f.jpg.jpg","","<BARTLETT, Allison Hoover.><Lulu Fitri Rahman>","","<20180538>"
"Robin Hood","Text","Cet. 1","9786020478197","PT Alex Media Komputindo","2018","20.5 X 13.5 CM","World Library Series","823 CRE r","Indonesia","Jakarta","823","","","","<CRESWICK, PAUL.><Peusy Sharmaya>","","<20180537>"
"Spirit JK; Memakmurkan Masjid Dimakmurkan Masjid","Text","Cet. 1","9786021822081","Realestat","2017","24 x 17,5 cm","","2X4.125 NOE s","Indonesia","Jakarta","2X4.125","","","","<NOER, Munawar Fuad.>","","<20180517><20180516>"
"Dienul Islam","Text","cet. 2","","PT al ma\'arif","1977","261 hlm. ; 21 cm","","2X0  RAZ d","Indonesia","Bandung","2X0","","","","<RAZAK, Nasruddin.>","<Samsoe B><Islam Umum>","<20170548>"
"Zakah Criteria for Performance Excellent","Text","Cet. 1","9789792571226","Penerbit Forum Zakat","2011","viii+105 hlm.; 21 cm","","2x4.144 ICH z","Indonesia","Jakarta","2x4.144","","zakah-criteria-e1513837464582.jpg.jpg","","<ICHSAN, M. Surjani>","<Pengelola Zakat>",""
"M. Natsir; Sebuah Biografi (Jilid 1)","Text","Cet. 1","","Girimukti Pasaka","1990","","","R 922.97 ROS m","Indonesia","Jakarta","922.97","","8427986.jpg.jpg","","<ROSIDI, Ajip.>","<Biografi Tokoh-tokoh Pemuka Agama Islam>","<20180550>"
"Persib Undercover","Text","Cet. 1","9786027147034","Tiga Buku","2014","262 hlm.; 20 cm","","902 HAN p","Indonesia","Bandung","902","","182093_fea7a4f6-74ae-11e4-9531-c1ab2523fab8.jpg.jpg","","<HANIFAN, Aqwam Fiazmi.><Novan Herfiyana>","<Aneka Ragam Sejarah>","<20180549>"
"Fikih Darurat","Text","Cet. 1","9786021583517","Turos","2018","204 hlm.; 11.5 x 17.5 cm","","2x4 BAY f","Indonesia","Jakarta Selatan","2x4","","9786021583517_Fikih_Darurat__w240_hauto.jpg.jpg","","<BAYANUNI, Muhammad Abul Fatah Al.><Abdul Majid>","","<20180548>"
"Bersamamu, di Jalan Dakwah Berliku","Text","","978-602-7820-59-3","Pro-U Media","2016","256 hlm.; 20 cm","","2x5.1 FIL b","Indonesia","Yogyakarta","2x5.1","","img214-1489834180.jpg.jpg","","<FILLAH, Salim A.><SIAUW, Felix Y.>","<Akhlak>","<20180547>"
"Khawarij dan Syiah","Text","Cet. 1","9786027637504","Ummul Qura","2016","592 hlm.; 24 cm","","R 2x8 SHA k","Indonesia","Jakarta Timur","2x8","","khawarij-dan-syiah.jpg.jpg","","<SHALLABI, Ali Muhammad><Cep Mochamad Faqih>","<Aliran dan Sekte dalam Islam>","<20180546>"
"Sejarah dan Evolusi Fiqih; Aliran-aliran Pemikiran Hukum Islam","Text","Cet. 1","9786023500437","Nuansa Cendekia","2015","viii+210 hlm.; 13.5x20.5 cm","","2x4.09 PHI s","Indonesia","Bandung","2x4.09","","images_(1).jpg.jpg","","<PHILIPS, Abu Ameenah Bilal.><M. Fauzi Arifin>","<Sejarah Pembinaan Fiqih><Tarikh Tasyri'>","<20180545>"
"Robinson Crusoe","Text","","","","","","","","Indonesia","","813","","images_(46).jpg","","<DEFOE, Daniel.>","","<20080038>"
"Islam dan Ilmu Pengetahuan Modern","Text","Cet. 1","","Pustaka","1983","","","2x0.7 BAI i","Indonesia","Bandung","2x0.7","","","","<Pustaka><BAIQUNI, A.>","","<19830815><19830821><20091049><20150241><20180536>"
"Sains dan Dunia Islam","Text","Cet. 1","","Pustaka","1982","","","2x0.501 SAL s","Indonesia","Bandung","2x0.501","","","","<SALAM, Abdus.>","","<20110387><19830108><20090450><19830103><20180357><20180358><20180356><20180355><20180354><20180353><20180352><20180351><20180534>"
"Kado Cinta untuk Muslimah","Text","","","","","","","2x4.301 USM k","Indonesia","","2x4.301","","","","<USMANI, Ahmad Rofi\'>","","<20120037>"
"Detektif Cilik Imung; Buku 02","Text","Cet. 1","","Plot Point","2014","","","813 ATM","Indonesia","","813","","","","<ATMOWILOTO, Arswendo.>","","<20140552>"
"Never Ending Success","Text","","","","","","","131 HAR","Indonesia","","131","","images_(81).jpg","","<HARTONO, Budi.>","","<20070008>"
"The Power of Shalat","Text","Cet. 2","9799792644011","MQ Publishing","2006","","","2x4.12 SYA p","Indonesia","","2x4.12","","","","<SYAFI\'I, Jalal Muhammad.>","","<20060647><20180485>"
"Esai Tentang Seni Video dan Media Baru","Text","","","","","","","302 MUR e","Indonesia","","302","","","","<MURTI, Krisna.>","","<20120414>"
"Pemberantasan Tindak Pidana Korupsi","Text","","","","","","","351 SAL","Indonesia","","351","","","","<SALAM, Moch. Faisal.>","","<20040356><20040358>"
"The 7th Power","Text","Cet. 1","","Senja","2014","","","813 RIF s","Indonesia","","813","","","","<RIF\'AN, Komikus.>","","<20150397>"
"Ideologi (Suatu Pengantar Studi Ilmu Politik)","Text","","","","","","","320.5 SUK i","Indonesia","","320.5","","","","<SUKARNA>","","<20090612>"
"ESQ; Only for ESQ Training","Text","Cet. 42","","Arga","","","","153.8 AGU","Indonesia","","153.8","","images_(46).jpg","","<AGUSTIAN, Ary Ginanjar.>","","<20080353>"
"Hidup Sehat dengan Problem Penyakit","Text","","","","","","","613 KOM h","Indonesia","","613","","","","<KOMPAS>","","<20110795>"
"Buku Pintar Kedokteran Nabi SAW","Text","","","Fathan","2013","","","2x0.6 JAU b","Indonesia","","2x0.6","","","","<JAUZIYAH, Ibn al-Qayyim al.><FIRLY, Abu.>","<Islam dan Kedokteran>","<20130245>"
"Menuju Cahaya; Episode Kehidupan Muhammad Sebelum Kenabian","Text","","","","","","","2x9.11 FAN m","Indonesia","","2x9.11","","","","<FANAWARANI, Munawar Kholil al.>","<Sirah Nabi, Nabawiyah, Sejarah Nabi Muhammad SAW>","<20110557>"
"Prinsip dan Kebijaksanaan Da'wah Islam","Text","Cet. 1","","UMMINDA","1982","","","2x7.2 HAM","Indonesia","","2x7.2","","","","<HAMKA>","","<20150134>"
